period,country,sex,agecode,age,pi,LE,HLE,u,rho,lx,Lx
2011 to 2013,Northern Ireland,Female,2,01 to 04,0.95732987584369,81.3157894736842,61.8,3.9220488191961493,1.0007811291528628,1.0129449838187699,3.972819677697069
2011 to 2013,Northern Ireland,Female,3,05 to 09,0.953933363712573,77.33333333333333,58.0,6.906816568217465,0.9645658018486789,1.0137362246758768,7.001690152393568
2011 to 2013,Northern Ireland,Female,4,10 to 14,0.947797392050928,73.01369863013699,53.3,3.2052034473605033,1.0341999286337256,0.9778152944175396,3.1340969525489233
2011 to 2013,Northern Ireland,Female,5,15 to 19,0.933437135666667,67.5,48.6,5.783141556053508,0.9840956927280762,1.0112565077035847,5.848239533530145
2011 to 2013,Northern Ireland,Female,6,20 to 24,0.912703567238589,62.714285714285715,43.9,5.390057957296818,0.9893521541815343,0.9951731734743342,5.364041082573662
2011 to 2013,Northern Ireland,Female,7,25 to 29,0.896977379997367,57.94117647058823,39.4,4.89001747518958,1.0003932839132317,0.9845767229605064,4.814597380941766
2011 to 2013,Northern Ireland,Female,8,30 to 34,0.87522908647535,53.03030303030303,35.0,4.508821916957949,1.0115227333075196,0.984963941146989,4.4410270052568235
2011 to 2013,Northern Ireland,Female,9,35 to 39,0.845697062380204,47.96875,30.7,4.2507199246743355,1.0189916784474402,0.9963134179583493,4.235049296935944
2011 to 2013,Northern Ireland,Female,10,40 to 44,0.809639544176469,42.903225806451616,26.6,5.860041182563343,0.967056589738676,1.0152350820250844,5.949319390650068
2011 to 2013,Northern Ireland,Female,11,45 to 49,0.771431250428268,38.30508474576271,22.6,5.435112075652,0.9687991944874735,0.9817897762062432,5.336137468410227
2011 to 2013,Northern Ireland,Female,12,50 to 54,0.726220671311343,33.92857142857143,19.0,5.187308432158545,0.9764659864165917,0.9511571443446453,4.933945475166821
2011 to 2013,Northern Ireland,Female,13,55 to 59,0.67997125373867,29.433962264150942,15.6,4.906443943579614,0.9811007328228531,0.9287725991896825,4.556970694256914
