period,country,sex,age,agecode,hle,prop
2021 to 2023,United Kingdom,Female,01 to 04,2,60.9,74
2021 to 2023,United Kingdom,Female,05 to 09,3,57.2,73
2021 to 2023,United Kingdom,Female,10 to 14,4,52.7,72
2021 to 2023,United Kingdom,Female,15 to 19,5,48.2,71
2021 to 2023,United Kingdom,Female,20 to 24,6,43.9,69
2021 to 2023,United Kingdom,Female,25 to 29,7,39.7,68
2021 to 2023,United Kingdom,Female,30 to 34,8,35.6,67
2021 to 2023,United Kingdom,Female,35 to 39,9,31.5,65
2021 to 2023,United Kingdom,Female,40 to 44,10,27.6,63
2021 to 2023,United Kingdom,Female,45 to 49,11,23.9,61
2021 to 2023,United Kingdom,Female,50 to 54,12,20.4,60
2021 to 2023,United Kingdom,Female,55 to 59,13,17,57
2021 to 2023,United Kingdom,Female,60 to 64,14,13.9,55
2021 to 2023,United Kingdom,Female,65 to 69,15,11.1,53
2021 to 2023,United Kingdom,Female,70 to 74,16,8.4,50
2021 to 2023,United Kingdom,Female,75 to 79,17,6,46
2021 to 2023,United Kingdom,Female,80 to 84,18,4,42
2021 to 2023,United Kingdom,Female,85 to 89,19,2.5,37
2021 to 2023,United Kingdom,Female,90+,20,1.5,33
2022 to 2024,United Kingdom,Male,<1,1,60.7,77
2022 to 2024,United Kingdom,Male,01 to 04,2,60,76
2022 to 2024,United Kingdom,Male,05 to 09,3,56.4,76
2022 to 2024,United Kingdom,Male,10 to 14,4,51.8,74
2022 to 2024,United Kingdom,Male,15 to 19,5,47.3,73
2022 to 2024,United Kingdom,Male,20 to 24,6,42.9,72
2022 to 2024,United Kingdom,Male,25 to 29,7,38.6,70
2022 to 2024,United Kingdom,Male,30 to 34,8,34.4,69
2022 to 2024,United Kingdom,Male,35 to 39,9,30.3,67
2022 to 2024,United Kingdom,Male,40 to 44,10,26.4,65
2022 to 2024,United Kingdom,Male,45 to 49,11,22.7,63
2022 to 2024,United Kingdom,Male,50 to 54,12,19.1,61
2022 to 2024,United Kingdom,Male,55 to 59,13,15.8,59
2022 to 2024,United Kingdom,Male,60 to 64,14,12.8,56
2022 to 2024,United Kingdom,Male,65 to 69,15,10,53
2022 to 2024,United Kingdom,Male,70 to 74,16,7.6,50
2022 to 2024,United Kingdom,Male,75 to 79,17,5.4,47
2022 to 2024,United Kingdom,Male,80 to 84,18,3.7,43
2022 to 2024,United Kingdom,Male,85 to 89,19,2.3,38
2022 to 2024,United Kingdom,Male,90+,20,1.4,34
2022 to 2024,United Kingdom,Female,<1,1,60.9,73
2022 to 2024,United Kingdom,Female,01 to 04,2,60.2,73
2022 to 2024,United Kingdom,Female,05 to 09,3,56.6,72
2022 to 2024,United Kingdom,Female,10 to 14,4,52.2,71
2022 to 2024,United Kingdom,Female,15 to 19,5,47.7,70
2022 to 2024,United Kingdom,Female,20 to 24,6,43.5,68
2022 to 2024,United Kingdom,Female,25 to 29,7,39.3,67
2022 to 2024,United Kingdom,Female,30 to 34,8,35.2,66
2022 to 2024,United Kingdom,Female,35 to 39,9,31.2,64
2022 to 2024,United Kingdom,Female,40 to 44,10,27.4,62
2022 to 2024,United Kingdom,Female,45 to 49,11,23.7,61
2022 to 2024,United Kingdom,Female,50 to 54,12,20.2,59
2022 to 2024,United Kingdom,Female,55 to 59,13,16.9,57
2022 to 2024,United Kingdom,Female,60 to 64,14,13.9,54
2022 to 2024,United Kingdom,Female,65 to 69,15,11,52
2022 to 2024,United Kingdom,Female,70 to 74,16,8.4,49
2022 to 2024,United Kingdom,Female,75 to 79,17,6,45
2022 to 2024,United Kingdom,Female,80 to 84,18,4,41
2022 to 2024,United Kingdom,Female,85 to 89,19,2.5,36
2022 to 2024,United Kingdom,Female,90+,20,1.5,33
2011 to 2013,Wales,Male,<1,1,61.3,78
2011 to 2013,Wales,Male,01 to 04,2,60.6,78
2011 to 2013,Wales,Male,05 to 09,3,56.9,77
2011 to 2013,Wales,Male,10 to 14,4,52.2,76
2011 to 2013,Wales,Male,15 to 19,5,47.5,75
2011 to 2013,Wales,Male,20 to 24,6,42.9,73
2011 to 2013,Wales,Male,25 to 29,7,38.5,71
2011 to 2013,Wales,Male,30 to 34,8,34.1,69
2011 to 2013,Wales,Male,35 to 39,9,29.9,67
2011 to 2013,Wales,Male,40 to 44,10,25.9,65
2011 to 2013,Wales,Male,45 to 49,11,22,63
2011 to 2013,Wales,Male,50 to 54,12,18.3,60
2011 to 2013,Wales,Male,55 to 59,13,14.9,57
2011 to 2013,Wales,Male,60 to 64,14,11.8,54
2011 to 2013,Wales,Male,65 to 69,15,9.1,51
2011 to 2013,Wales,Male,70 to 74,16,6.7,47
2011 to 2013,Wales,Male,75 to 79,17,4.7,43
2011 to 2013,Wales,Male,80 to 84,18,3.1,39
2011 to 2013,Wales,Male,85 to 89,19,2,35
2011 to 2013,Wales,Male,90+,20,1.2,31
2011 to 2013,Wales,Female,<1,1,61.9,75
2011 to 2013,Wales,Female,01 to 04,2,61.2,75
2011 to 2013,Wales,Female,05 to 09,3,57.5,74
2011 to 2013,Wales,Female,10 to 14,4,52.8,73
2011 to 2013,Wales,Female,15 to 19,5,48.2,71
2011 to 2013,Wales,Female,20 to 24,6,43.7,70
2011 to 2013,Wales,Female,25 to 29,7,39.3,68
2011 to 2013,Wales,Female,30 to 34,8,35,66
2011 to 2013,Wales,Female,35 to 39,9,30.9,64
2011 to 2013,Wales,Female,40 to 44,10,26.9,62
2011 to 2013,Wales,Female,45 to 49,11,23,60
2011 to 2013,Wales,Female,50 to 54,12,19.4,58
2011 to 2013,Wales,Female,55 to 59,13,16.1,55
2011 to 2013,Wales,Female,60 to 64,14,12.9,52
2011 to 2013,Wales,Female,65 to 69,15,10.1,49
2011 to 2013,Wales,Female,70 to 74,16,7.6,46
2011 to 2013,Wales,Female,75 to 79,17,5.5,43
2011 to 2013,Wales,Female,80 to 84,18,3.7,39
2011 to 2013,Wales,Female,85 to 89,19,2.3,34
2011 to 2013,Wales,Female,90+,20,1.4,29
2012 to 2014,Wales,Male,<1,1,61.4,78
2012 to 2014,Wales,Male,01 to 04,2,60.7,78
2012 to 2014,Wales,Male,05 to 09,3,56.9,77
2012 to 2014,Wales,Male,10 to 14,4,52.2,76
2012 to 2014,Wales,Male,15 to 19,5,47.6,75
2012 to 2014,Wales,Male,20 to 24,6,43,73
2012 to 2014,Wales,Male,25 to 29,7,38.6,71
2012 to 2014,Wales,Male,30 to 34,8,34.3,70
2012 to 2014,Wales,Male,35 to 39,9,30.1,68
2012 to 2014,Wales,Male,40 to 44,10,26,65
2012 to 2014,Wales,Male,45 to 49,11,22.2,63
2012 to 2014,Wales,Male,50 to 54,12,18.5,60
2012 to 2014,Wales,Male,55 to 59,13,15.1,58
2012 to 2014,Wales,Male,60 to 64,14,12,55
2012 to 2014,Wales,Male,65 to 69,15,9.3,52
2012 to 2014,Wales,Male,70 to 74,16,6.9,48
2012 to 2014,Wales,Male,75 to 79,17,4.9,44
2012 to 2014,Wales,Male,80 to 84,18,3.3,40
2012 to 2014,Wales,Male,85 to 89,19,2.1,36
2012 to 2014,Wales,Male,90+,20,1.3,32
2012 to 2014,Wales,Female,<1,1,62.2,76
2012 to 2014,Wales,Female,01 to 04,2,61.5,75
2012 to 2014,Wales,Female,05 to 09,3,57.8,75
2012 to 2014,Wales,Female,10 to 14,4,53.2,73
2012 to 2014,Wales,Female,15 to 19,5,48.6,72
2012 to 2014,Wales,Female,20 to 24,6,44.1,70
2012 to 2014,Wales,Female,25 to 29,7,39.7,69
2012 to 2014,Wales,Female,30 to 34,8,35.4,67
2012 to 2014,Wales,Female,35 to 39,9,31.2,65
2012 to 2014,Wales,Female,40 to 44,10,27.2,63
2012 to 2014,Wales,Female,45 to 49,11,23.4,61
2012 to 2014,Wales,Female,50 to 54,12,19.7,59
2012 to 2014,Wales,Female,55 to 59,13,16.3,56
2012 to 2014,Wales,Female,60 to 64,14,13.2,53
2012 to 2014,Wales,Female,65 to 69,15,10.4,51
2012 to 2014,Wales,Female,70 to 74,16,7.8,47
2012 to 2014,Wales,Female,75 to 79,17,5.6,44
2012 to 2014,Wales,Female,80 to 84,18,3.8,40
2012 to 2014,Wales,Female,85 to 89,19,2.4,36
2012 to 2014,Wales,Female,90+,20,1.4,31
2013 to 2015,Wales,Male,<1,1,61.2,78
2013 to 2015,Wales,Male,01 to 04,2,60.5,78
2013 to 2015,Wales,Male,05 to 09,3,56.8,77
2013 to 2015,Wales,Male,10 to 14,4,52.1,76
2013 to 2015,Wales,Male,15 to 19,5,47.5,74
2013 to 2015,Wales,Male,20 to 24,6,43,73
2013 to 2015,Wales,Male,25 to 29,7,38.6,71
2013 to 2015,Wales,Male,30 to 34,8,34.3,70
2013 to 2015,Wales,Male,35 to 39,9,30.1,68
2013 to 2015,Wales,Male,40 to 44,10,26.1,66
2013 to 2015,Wales,Male,45 to 49,11,22.3,63
2013 to 2015,Wales,Male,50 to 54,12,18.7,61
2013 to 2015,Wales,Male,55 to 59,13,15.3,58
2013 to 2015,Wales,Male,60 to 64,14,12.2,55
2013 to 2015,Wales,Male,65 to 69,15,9.5,52
2013 to 2015,Wales,Male,70 to 74,16,7,49
2013 to 2015,Wales,Male,75 to 79,17,5,45
2013 to 2015,Wales,Male,80 to 84,18,3.4,41
2013 to 2015,Wales,Male,85 to 89,19,2.1,37
2013 to 2015,Wales,Male,90+,20,1.3,33
2013 to 2015,Wales,Female,<1,1,62.5,76
2013 to 2015,Wales,Female,01 to 04,2,61.8,76
2013 to 2015,Wales,Female,05 to 09,3,58.1,75
2013 to 2015,Wales,Female,10 to 14,4,53.5,74
2013 to 2015,Wales,Female,15 to 19,5,48.9,72
2013 to 2015,Wales,Female,20 to 24,6,44.4,71
2013 to 2015,Wales,Female,25 to 29,7,40,69
2013 to 2015,Wales,Female,30 to 34,8,35.7,68
2013 to 2015,Wales,Female,35 to 39,9,31.5,66
2013 to 2015,Wales,Female,40 to 44,10,27.5,64
2013 to 2015,Wales,Female,45 to 49,11,23.7,62
2013 to 2015,Wales,Female,50 to 54,12,20,59
2013 to 2015,Wales,Female,55 to 59,13,16.6,57
2013 to 2015,Wales,Female,60 to 64,14,13.5,54
2013 to 2015,Wales,Female,65 to 69,15,10.6,52
2013 to 2015,Wales,Female,70 to 74,16,8,49
2013 to 2015,Wales,Female,75 to 79,17,5.8,45
2013 to 2015,Wales,Female,80 to 84,18,3.9,42
2013 to 2015,Wales,Female,85 to 89,19,2.5,37
2013 to 2015,Wales,Female,90+,20,1.5,32
2014 to 2016,Wales,Male,<1,1,61.3,78
2014 to 2016,Wales,Male,01 to 04,2,60.6,78
2014 to 2016,Wales,Male,05 to 09,3,56.8,77
2014 to 2016,Wales,Male,10 to 14,4,52.2,76
2014 to 2016,Wales,Male,15 to 19,5,47.6,75
2014 to 2016,Wales,Male,20 to 24,6,43.1,73
2014 to 2016,Wales,Male,25 to 29,7,38.7,72
2014 to 2016,Wales,Male,30 to 34,8,34.4,70
2014 to 2016,Wales,Male,35 to 39,9,30.3,68
2014 to 2016,Wales,Male,40 to 44,10,26.3,66
2014 to 2016,Wales,Male,45 to 49,11,22.5,64
2014 to 2016,Wales,Male,50 to 54,12,18.9,62
2014 to 2016,Wales,Male,55 to 59,13,15.5,59
2014 to 2016,Wales,Male,60 to 64,14,12.4,56
2014 to 2016,Wales,Male,65 to 69,15,9.7,54
2014 to 2016,Wales,Male,70 to 74,16,7.3,50
2014 to 2016,Wales,Male,75 to 79,17,5.2,47
2014 to 2016,Wales,Male,80 to 84,18,3.5,43
2014 to 2016,Wales,Male,85 to 89,19,2.2,39
2014 to 2016,Wales,Male,90+,20,1.4,34
2014 to 2016,Wales,Female,<1,1,62.4,76
2014 to 2016,Wales,Female,01 to 04,2,61.6,76
2014 to 2016,Wales,Female,05 to 09,3,57.9,75
2014 to 2016,Wales,Female,10 to 14,4,53.3,73
2014 to 2016,Wales,Female,15 to 19,5,48.7,72
2014 to 2016,Wales,Female,20 to 24,6,44.3,71
2014 to 2016,Wales,Female,25 to 29,7,39.9,69
2014 to 2016,Wales,Female,30 to 34,8,35.6,67
2014 to 2016,Wales,Female,35 to 39,9,31.4,66
2014 to 2016,Wales,Female,40 to 44,10,27.4,64
2014 to 2016,Wales,Female,45 to 49,11,23.6,62
2014 to 2016,Wales,Female,50 to 54,12,19.9,59
2014 to 2016,Wales,Female,55 to 59,13,16.5,57
2014 to 2016,Wales,Female,60 to 64,14,13.4,54
2014 to 2016,Wales,Female,65 to 69,15,10.6,52
2014 to 2016,Wales,Female,70 to 74,16,8,48
2014 to 2016,Wales,Female,75 to 79,17,5.8,45
2014 to 2016,Wales,Female,80 to 84,18,3.9,41
2014 to 2016,Wales,Female,85 to 89,19,2.5,37
2014 to 2016,Wales,Female,90+,20,1.5,33
2015 to 2017,Wales,Male,<1,1,61.2,78
2015 to 2017,Wales,Male,01 to 04,2,60.5,78
2015 to 2017,Wales,Male,05 to 09,3,56.8,77
2015 to 2017,Wales,Male,10 to 14,4,52.1,76
2015 to 2017,Wales,Male,15 to 19,5,47.5,75
2015 to 2017,Wales,Male,20 to 24,6,43,73
2015 to 2017,Wales,Male,25 to 29,7,38.6,72
2015 to 2017,Wales,Male,30 to 34,8,34.4,70
2015 to 2017,Wales,Male,35 to 39,9,30.3,68
2015 to 2017,Wales,Male,40 to 44,10,26.3,66
2015 to 2017,Wales,Male,45 to 49,11,22.5,64
2015 to 2017,Wales,Male,50 to 54,12,18.9,62
2015 to 2017,Wales,Male,55 to 59,13,15.5,59
2015 to 2017,Wales,Male,60 to 64,14,12.5,57
2015 to 2017,Wales,Male,65 to 69,15,9.7,54
2015 to 2017,Wales,Male,70 to 74,16,7.3,51
2015 to 2017,Wales,Male,75 to 79,17,5.2,47
2015 to 2017,Wales,Male,80 to 84,18,3.5,43
2015 to 2017,Wales,Male,85 to 89,19,2.2,39
2015 to 2017,Wales,Male,90+,20,1.4,34
2015 to 2017,Wales,Female,<1,1,62,75
2015 to 2017,Wales,Female,01 to 04,2,61.2,75
2015 to 2017,Wales,Female,05 to 09,3,57.6,74
2015 to 2017,Wales,Female,10 to 14,4,53,73
2015 to 2017,Wales,Female,15 to 19,5,48.4,72
2015 to 2017,Wales,Female,20 to 24,6,44,70
2015 to 2017,Wales,Female,25 to 29,7,39.7,69
2015 to 2017,Wales,Female,30 to 34,8,35.4,67
2015 to 2017,Wales,Female,35 to 39,9,31.3,65
2015 to 2017,Wales,Female,40 to 44,10,27.3,63
2015 to 2017,Wales,Female,45 to 49,11,23.5,61
2015 to 2017,Wales,Female,50 to 54,12,19.9,59
2015 to 2017,Wales,Female,55 to 59,13,16.5,57
2015 to 2017,Wales,Female,60 to 64,14,13.4,54
2015 to 2017,Wales,Female,65 to 69,15,10.6,52
2015 to 2017,Wales,Female,70 to 74,16,8,49
2015 to 2017,Wales,Female,75 to 79,17,5.8,45
2015 to 2017,Wales,Female,80 to 84,18,3.9,42
2015 to 2017,Wales,Female,85 to 89,19,2.5,38
2015 to 2017,Wales,Female,90+,20,1.5,33
2016 to 2018,Wales,Male,<1,1,61.2,78
2016 to 2018,Wales,Male,01 to 04,2,60.5,78
2016 to 2018,Wales,Male,05 to 09,3,56.8,77
2016 to 2018,Wales,Male,10 to 14,4,52.2,76
2016 to 2018,Wales,Male,15 to 19,5,47.6,75
2016 to 2018,Wales,Male,20 to 24,6,43.1,73
2016 to 2018,Wales,Male,25 to 29,7,38.7,72
2016 to 2018,Wales,Male,30 to 34,8,34.5,70
2016 to 2018,Wales,Male,35 to 39,9,30.4,68
2016 to 2018,Wales,Male,40 to 44,10,26.4,67
2016 to 2018,Wales,Male,45 to 49,11,22.6,64
2016 to 2018,Wales,Male,50 to 54,12,19.1,62
2016 to 2018,Wales,Male,55 to 59,13,15.7,60
2016 to 2018,Wales,Male,60 to 64,14,12.6,57
2016 to 2018,Wales,Male,65 to 69,15,9.8,54
2016 to 2018,Wales,Male,70 to 74,16,7.4,51
2016 to 2018,Wales,Male,75 to 79,17,5.3,48
2016 to 2018,Wales,Male,80 to 84,18,3.6,44
2016 to 2018,Wales,Male,85 to 89,19,2.3,40
2016 to 2018,Wales,Male,90+,20,1.4,35
2016 to 2018,Wales,Female,<1,1,61.9,75
2016 to 2018,Wales,Female,01 to 04,2,61.2,75
2016 to 2018,Wales,Female,05 to 09,3,57.5,74
2016 to 2018,Wales,Female,10 to 14,4,52.9,73
2016 to 2018,Wales,Female,15 to 19,5,48.4,72
2016 to 2018,Wales,Female,20 to 24,6,44,70
2016 to 2018,Wales,Female,25 to 29,7,39.6,69
2016 to 2018,Wales,Female,30 to 34,8,35.4,67
2016 to 2018,Wales,Female,35 to 39,9,31.3,65
2016 to 2018,Wales,Female,40 to 44,10,27.4,64
2016 to 2018,Wales,Female,45 to 49,11,23.6,62
2016 to 2018,Wales,Female,50 to 54,12,20,59
2016 to 2018,Wales,Female,55 to 59,13,16.6,57
2016 to 2018,Wales,Female,60 to 64,14,13.5,55
2016 to 2018,Wales,Female,65 to 69,15,10.6,52
2016 to 2018,Wales,Female,70 to 74,16,8.1,49
2016 to 2018,Wales,Female,75 to 79,17,5.8,46
2016 to 2018,Wales,Female,80 to 84,18,3.9,42
2016 to 2018,Wales,Female,85 to 89,19,2.5,38
2016 to 2018,Wales,Female,90+,20,1.5,34
2017 to 2019,Wales,Male,<1,1,61.3,78
2017 to 2019,Wales,Male,01 to 04,2,60.6,78
2017 to 2019,Wales,Male,05 to 09,3,56.9,77
2017 to 2019,Wales,Male,10 to 14,4,52.3,76
2017 to 2019,Wales,Male,15 to 19,5,47.7,75
2017 to 2019,Wales,Male,20 to 24,6,43.2,73
2017 to 2019,Wales,Male,25 to 29,7,38.9,72
2017 to 2019,Wales,Male,30 to 34,8,34.7,70
2017 to 2019,Wales,Male,35 to 39,9,30.5,69
2017 to 2019,Wales,Male,40 to 44,10,26.6,67
2017 to 2019,Wales,Male,45 to 49,11,22.8,65
2017 to 2019,Wales,Male,50 to 54,12,19.2,62
2017 to 2019,Wales,Male,55 to 59,13,15.8,60
2017 to 2019,Wales,Male,60 to 64,14,12.8,57
2017 to 2019,Wales,Male,65 to 69,15,10,55
2017 to 2019,Wales,Male,70 to 74,16,7.5,52
2017 to 2019,Wales,Male,75 to 79,17,5.4,49
2017 to 2019,Wales,Male,80 to 84,18,3.7,45
2017 to 2019,Wales,Male,85 to 89,19,2.3,41
2017 to 2019,Wales,Male,90+,20,1.5,36
2017 to 2019,Wales,Female,<1,1,61.9,75
2017 to 2019,Wales,Female,01 to 04,2,61.2,75
2017 to 2019,Wales,Female,05 to 09,3,57.5,74
2017 to 2019,Wales,Female,10 to 14,4,52.9,73
2017 to 2019,Wales,Female,15 to 19,5,48.4,72
2017 to 2019,Wales,Female,20 to 24,6,44,70
2017 to 2019,Wales,Female,25 to 29,7,39.7,69
2017 to 2019,Wales,Female,30 to 34,8,35.6,67
2017 to 2019,Wales,Female,35 to 39,9,31.5,66
2017 to 2019,Wales,Female,40 to 44,10,27.6,64
2017 to 2019,Wales,Female,45 to 49,11,23.8,62
2017 to 2019,Wales,Female,50 to 54,12,20.2,60
2017 to 2019,Wales,Female,55 to 59,13,16.8,58
2017 to 2019,Wales,Female,60 to 64,14,13.7,55
2017 to 2019,Wales,Female,65 to 69,15,10.8,53
2017 to 2019,Wales,Female,70 to 74,16,8.3,50
2017 to 2019,Wales,Female,75 to 79,17,5.9,46
2017 to 2019,Wales,Female,80 to 84,18,4,43
2017 to 2019,Wales,Female,85 to 89,19,2.6,39
2017 to 2019,Wales,Female,90+,20,1.6,35
2018 to 2020,Wales,Male,<1,1,61.4,79
2018 to 2020,Wales,Male,01 to 04,2,60.7,78
2018 to 2020,Wales,Male,05 to 09,3,57,78
2018 to 2020,Wales,Male,10 to 14,4,52.4,76
2018 to 2020,Wales,Male,15 to 19,5,47.8,75
2018 to 2020,Wales,Male,20 to 24,6,43.3,74
2018 to 2020,Wales,Male,25 to 29,7,39,72
2018 to 2020,Wales,Male,30 to 34,8,34.7,71
2018 to 2020,Wales,Male,35 to 39,9,30.6,69
2018 to 2020,Wales,Male,40 to 44,10,26.6,67
2018 to 2020,Wales,Male,45 to 49,11,22.8,65
2018 to 2020,Wales,Male,50 to 54,12,19.2,63
2018 to 2020,Wales,Male,55 to 59,13,15.9,61
2018 to 2020,Wales,Male,60 to 64,14,12.8,58
2018 to 2020,Wales,Male,65 to 69,15,10,56
2018 to 2020,Wales,Male,70 to 74,16,7.5,53
2018 to 2020,Wales,Male,75 to 79,17,5.4,49
2018 to 2020,Wales,Male,80 to 84,18,3.6,45
2018 to 2020,Wales,Male,85 to 89,19,2.3,41
2018 to 2020,Wales,Male,90+,20,1.5,37
2018 to 2020,Wales,Female,<1,1,62.1,76
2018 to 2020,Wales,Female,01 to 04,2,61.4,76
2018 to 2020,Wales,Female,05 to 09,3,57.8,75
2018 to 2020,Wales,Female,10 to 14,4,53.2,74
2018 to 2020,Wales,Female,15 to 19,5,48.7,72
2018 to 2020,Wales,Female,20 to 24,6,44.3,71
2018 to 2020,Wales,Female,25 to 29,7,40.1,70
2018 to 2020,Wales,Female,30 to 34,8,35.9,68
2018 to 2020,Wales,Female,35 to 39,9,31.8,67
2018 to 2020,Wales,Female,40 to 44,10,27.9,65
2018 to 2020,Wales,Female,45 to 49,11,24.1,63
2018 to 2020,Wales,Female,50 to 54,12,20.6,61
2018 to 2020,Wales,Female,55 to 59,13,17.2,59
2018 to 2020,Wales,Female,60 to 64,14,14,57
2018 to 2020,Wales,Female,65 to 69,15,11.1,55
2018 to 2020,Wales,Female,70 to 74,16,8.5,52
2018 to 2020,Wales,Female,75 to 79,17,6.1,48
2018 to 2020,Wales,Female,80 to 84,18,4.1,44
2018 to 2020,Wales,Female,85 to 89,19,2.6,40
2018 to 2020,Wales,Female,90+,20,1.6,37
2019 to 2021,Wales,Male,<1,1,61.3,79
2019 to 2021,Wales,Male,01 to 04,2,60.6,78
2019 to 2021,Wales,Male,05 to 09,3,56.9,78
2019 to 2021,Wales,Male,10 to 14,4,52.3,77
2019 to 2021,Wales,Male,15 to 19,5,47.7,75
2019 to 2021,Wales,Male,20 to 24,6,43.3,74
2019 to 2021,Wales,Male,25 to 29,7,39,73
2019 to 2021,Wales,Male,30 to 34,8,34.8,71
2019 to 2021,Wales,Male,35 to 39,9,30.6,69
2019 to 2021,Wales,Male,40 to 44,10,26.7,68
2019 to 2021,Wales,Male,45 to 49,11,22.9,66
2019 to 2021,Wales,Male,50 to 54,12,19.3,64
2019 to 2021,Wales,Male,55 to 59,13,16,61
2019 to 2021,Wales,Male,60 to 64,14,12.9,59
2019 to 2021,Wales,Male,65 to 69,15,10.1,56
2019 to 2021,Wales,Male,70 to 74,16,7.7,54
2019 to 2021,Wales,Male,75 to 79,17,5.5,50
2019 to 2021,Wales,Male,80 to 84,18,3.7,47
2019 to 2021,Wales,Male,85 to 89,19,2.4,42
2019 to 2021,Wales,Male,90+,20,1.5,39
2019 to 2021,Wales,Female,<1,1,61.8,75
2019 to 2021,Wales,Female,01 to 04,2,61.1,75
2019 to 2021,Wales,Female,05 to 09,3,57.4,74
2019 to 2021,Wales,Female,10 to 14,4,52.9,73
2019 to 2021,Wales,Female,15 to 19,5,48.4,72
2019 to 2021,Wales,Female,20 to 24,6,44.1,71
2019 to 2021,Wales,Female,25 to 29,7,39.8,69
2019 to 2021,Wales,Female,30 to 34,8,35.7,68
2019 to 2021,Wales,Female,35 to 39,9,31.7,67
2019 to 2021,Wales,Female,40 to 44,10,27.8,65
2019 to 2021,Wales,Female,45 to 49,11,24.1,63
2019 to 2021,Wales,Female,50 to 54,12,20.5,61
2019 to 2021,Wales,Female,55 to 59,13,17.2,59
2019 to 2021,Wales,Female,60 to 64,14,14.1,57
2019 to 2021,Wales,Female,65 to 69,15,11.2,55
2019 to 2021,Wales,Female,70 to 74,16,8.5,52
2019 to 2021,Wales,Female,75 to 79,17,6.1,48
2019 to 2021,Wales,Female,80 to 84,18,4.1,44
2019 to 2021,Wales,Female,85 to 89,19,2.7,40
2019 to 2021,Wales,Female,90+,20,1.7,37
2020 to 2022,Wales,Male,<1,1,60.8,78
2020 to 2022,Wales,Male,01 to 04,2,60.1,78
2020 to 2022,Wales,Male,05 to 09,3,56.4,77
2020 to 2022,Wales,Male,10 to 14,4,51.8,76
2020 to 2022,Wales,Male,15 to 19,5,47.3,75
2020 to 2022,Wales,Male,20 to 24,6,42.8,73
2020 to 2022,Wales,Male,25 to 29,7,38.6,72
2020 to 2022,Wales,Male,30 to 34,8,34.4,70
2020 to 2022,Wales,Male,35 to 39,9,30.3,69
2020 to 2022,Wales,Male,40 to 44,10,26.4,67
2020 to 2022,Wales,Male,45 to 49,11,22.6,65
2020 to 2022,Wales,Male,50 to 54,12,19.2,63
2020 to 2022,Wales,Male,55 to 59,13,15.8,61
2020 to 2022,Wales,Male,60 to 64,14,12.8,58
2020 to 2022,Wales,Male,65 to 69,15,10,56
2020 to 2022,Wales,Male,70 to 74,16,7.6,53
2020 to 2022,Wales,Male,75 to 79,17,5.4,50
2020 to 2022,Wales,Male,80 to 84,18,3.7,46
2020 to 2022,Wales,Male,85 to 89,19,2.4,42
2020 to 2022,Wales,Male,90+,20,1.5,38
2020 to 2022,Wales,Female,<1,1,60.2,74
2020 to 2022,Wales,Female,01 to 04,2,59.5,73
2020 to 2022,Wales,Female,05 to 09,3,56,73
2020 to 2022,Wales,Female,10 to 14,4,51.5,71
2020 to 2022,Wales,Female,15 to 19,5,47.1,70
2020 to 2022,Wales,Female,20 to 24,6,42.9,69
2020 to 2022,Wales,Female,25 to 29,7,38.8,68
2020 to 2022,Wales,Female,30 to 34,8,34.7,66
2020 to 2022,Wales,Female,35 to 39,9,30.8,65
2020 to 2022,Wales,Female,40 to 44,10,27.1,63
2020 to 2022,Wales,Female,45 to 49,11,23.4,62
2020 to 2022,Wales,Female,50 to 54,12,20,60
2020 to 2022,Wales,Female,55 to 59,13,16.8,58
2020 to 2022,Wales,Female,60 to 64,14,13.7,56
2020 to 2022,Wales,Female,65 to 69,15,10.9,54
2020 to 2022,Wales,Female,70 to 74,16,8.3,51
2020 to 2022,Wales,Female,75 to 79,17,6,48
2020 to 2022,Wales,Female,80 to 84,18,4,44
2020 to 2022,Wales,Female,85 to 89,19,2.6,40
2020 to 2022,Wales,Female,90+,20,1.6,36
2021 to 2023,Wales,Male,<1,1,60.3,77
2021 to 2023,Wales,Male,01 to 04,2,59.6,77
2021 to 2023,Wales,Male,05 to 09,3,55.9,76
2021 to 2023,Wales,Male,10 to 14,4,51.3,75
2021 to 2023,Wales,Male,15 to 19,5,46.7,74
2021 to 2023,Wales,Male,20 to 24,6,42.3,72
2021 to 2023,Wales,Male,25 to 29,7,38,71
2021 to 2023,Wales,Male,30 to 34,8,33.8,69
2021 to 2023,Wales,Male,35 to 39,9,29.8,67
2021 to 2023,Wales,Male,40 to 44,10,25.9,66
2021 to 2023,Wales,Male,45 to 49,11,22.2,64
2021 to 2023,Wales,Male,50 to 54,12,18.8,61
2021 to 2023,Wales,Male,55 to 59,13,15.5,59
2021 to 2023,Wales,Male,60 to 64,14,12.5,57
2021 to 2023,Wales,Male,65 to 69,15,9.8,54
2021 to 2023,Wales,Male,70 to 74,16,7.4,51
2021 to 2023,Wales,Male,75 to 79,17,5.3,48
2021 to 2023,Wales,Male,80 to 84,18,3.6,44
2021 to 2023,Wales,Male,85 to 89,19,2.3,40
2021 to 2023,Wales,Male,90+,20,1.4,36
2021 to 2023,Wales,Female,<1,1,59.6,73
2021 to 2023,Wales,Female,01 to 04,2,58.9,73
2021 to 2023,Wales,Female,05 to 09,3,55.3,72
2021 to 2023,Wales,Female,10 to 14,4,50.8,70
2021 to 2023,Wales,Female,15 to 19,5,46.4,69
