period,country,sex,age,agecode,hle,prop
2021 to 2023,England,Male,65 to 69,15,10.1,54
2021 to 2023,England,Male,70 to 74,16,7.7,51
2021 to 2023,England,Male,75 to 79,17,5.5,48
2021 to 2023,England,Male,80 to 84,18,3.7,43
2021 to 2023,England,Male,85 to 89,19,2.3,39
2021 to 2023,England,Male,90+,20,1.4,34
2021 to 2023,England,Female,<1,1,61.9,75
2021 to 2023,England,Female,01 to 04,2,61.2,74
2021 to 2023,England,Female,05 to 09,3,57.5,73
2021 to 2023,England,Female,10 to 14,4,53,72
2021 to 2023,England,Female,15 to 19,5,48.5,71
2021 to 2023,England,Female,20 to 24,6,44.2,70
2021 to 2023,England,Female,25 to 29,7,40,68
2021 to 2023,England,Female,30 to 34,8,35.8,67
2021 to 2023,England,Female,35 to 39,9,31.8,65
2021 to 2023,England,Female,40 to 44,10,27.9,63
2021 to 2023,England,Female,45 to 49,11,24.1,62
2021 to 2023,England,Female,50 to 54,12,20.6,60
2021 to 2023,England,Female,55 to 59,13,17.2,58
2021 to 2023,England,Female,60 to 64,14,14.1,55
2021 to 2023,England,Female,65 to 69,15,11.2,53
2021 to 2023,England,Female,70 to 74,16,8.5,50
2021 to 2023,England,Female,75 to 79,17,6.1,46
2021 to 2023,England,Female,80 to 84,18,4.1,42
2021 to 2023,England,Female,85 to 89,19,2.5,37
2021 to 2023,England,Female,90+,20,1.5,33
2022 to 2024,England,Male,<1,1,60.9,77
2022 to 2024,England,Male,01 to 04,2,60.3,76
2022 to 2024,England,Male,05 to 09,3,56.6,76
2022 to 2024,England,Male,10 to 14,4,52,74
2022 to 2024,England,Male,15 to 19,5,47.5,73
2022 to 2024,England,Male,20 to 24,6,43.1,72
2022 to 2024,England,Male,25 to 29,7,38.8,70
2022 to 2024,England,Male,30 to 34,8,34.6,69
2022 to 2024,England,Male,35 to 39,9,30.5,67
2022 to 2024,England,Male,40 to 44,10,26.6,65
2022 to 2024,England,Male,45 to 49,11,22.8,63
2022 to 2024,England,Male,50 to 54,12,19.3,61
2022 to 2024,England,Male,55 to 59,13,15.9,59
2022 to 2024,England,Male,60 to 64,14,12.9,56
2022 to 2024,England,Male,65 to 69,15,10.1,53
2022 to 2024,England,Male,70 to 74,16,7.6,50
2022 to 2024,England,Male,75 to 79,17,5.5,47
2022 to 2024,England,Male,80 to 84,18,3.7,43
2022 to 2024,England,Male,85 to 89,19,2.3,38
2022 to 2024,England,Male,90+,20,1.4,34
2022 to 2024,England,Female,<1,1,61.3,74
2022 to 2024,England,Female,01 to 04,2,60.6,73
2022 to 2024,England,Female,05 to 09,3,57,72
2022 to 2024,England,Female,10 to 14,4,52.5,71
2022 to 2024,England,Female,15 to 19,5,48,70
2022 to 2024,England,Female,20 to 24,6,43.8,69
2022 to 2024,England,Female,25 to 29,7,39.6,67
2022 to 2024,England,Female,30 to 34,8,35.5,66
2022 to 2024,England,Female,35 to 39,9,31.5,64
2022 to 2024,England,Female,40 to 44,10,27.6,63
2022 to 2024,England,Female,45 to 49,11,23.9,61
2022 to 2024,England,Female,50 to 54,12,20.4,59
2022 to 2024,England,Female,55 to 59,13,17.1,57
2022 to 2024,England,Female,60 to 64,14,14,55
2022 to 2024,England,Female,65 to 69,15,11.1,52
2022 to 2024,England,Female,70 to 74,16,8.5,49
2022 to 2024,England,Female,75 to 79,17,6.1,45
2022 to 2024,England,Female,80 to 84,18,4.1,41
2022 to 2024,England,Female,85 to 89,19,2.6,36
2022 to 2024,England,Female,90+,20,1.5,33
2011 to 2013,Northern Ireland,Male,<1,1,60.5,78
2011 to 2013,Northern Ireland,Male,01 to 04,2,59.8,77
2011 to 2013,Northern Ireland,Male,05 to 09,3,56.1,76
2011 to 2013,Northern Ireland,Male,10 to 14,4,51.4,75
2011 to 2013,Northern Ireland,Male,15 to 19,5,46.7,74
2011 to 2013,Northern Ireland,Male,20 to 24,6,42.2,72
2011 to 2013,Northern Ireland,Male,25 to 29,7,37.7,70
2011 to 2013,Northern Ireland,Male,30 to 34,8,33.4,68
2011 to 2013,Northern Ireland,Male,35 to 39,9,29.2,66
2011 to 2013,Northern Ireland,Male,40 to 44,10,25.1,63
2011 to 2013,Northern Ireland,Male,45 to 49,11,21.2,60
2011 to 2013,Northern Ireland,Male,50 to 54,12,17.6,58
2011 to 2013,Northern Ireland,Male,55 to 59,13,14.3,55
2011 to 2013,Northern Ireland,Male,60 to 64,14,11.3,52
2011 to 2013,Northern Ireland,Male,65 to 69,15,8.8,49
2011 to 2013,Northern Ireland,Male,70 to 74,16,6.5,46
2011 to 2013,Northern Ireland,Male,75 to 79,17,4.6,42
2011 to 2013,Northern Ireland,Male,80 to 84,18,3,38
2011 to 2013,Northern Ireland,Male,85 to 89,19,1.9,34
2011 to 2013,Northern Ireland,Male,90+,20,1.3,31
2011 to 2013,Northern Ireland,Female,<1,1,62.6,76
2011 to 2013,Northern Ireland,Female,01 to 04,2,61.8,76
2011 to 2013,Northern Ireland,Female,05 to 09,3,58,75
2011 to 2013,Northern Ireland,Female,10 to 14,4,53.3,73
2011 to 2013,Northern Ireland,Female,15 to 19,5,48.6,72
2011 to 2013,Northern Ireland,Female,20 to 24,6,43.9,70
2011 to 2013,Northern Ireland,Female,25 to 29,7,39.4,68
2011 to 2013,Northern Ireland,Female,30 to 34,8,35,66
2011 to 2013,Northern Ireland,Female,35 to 39,9,30.7,64
2011 to 2013,Northern Ireland,Female,40 to 44,10,26.6,62
2011 to 2013,Northern Ireland,Female,45 to 49,11,22.6,59
2011 to 2013,Northern Ireland,Female,50 to 54,12,19,56
2011 to 2013,Northern Ireland,Female,55 to 59,13,15.6,53
2011 to 2013,Northern Ireland,Female,60 to 64,14,12.5,50
2011 to 2013,Northern Ireland,Female,65 to 69,15,9.7,47
2011 to 2013,Northern Ireland,Female,70 to 74,16,7.1,44
